EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,,,,,,,,,,
5540507,POLK (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,60,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",1,,,,,,,,,,,,,
5540510,MARION (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,74,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",2,,,,,,,,,,,,,
5540511,MAHASKA (ZONE), ,2/9/1996,600,Flood, , ,0,0,50000,0,IA,CST, ,2403189,Z,75,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",3,,,,,,,,,,,,,
5540506,DALLAS (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,59,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",4,,,,,,,,,,,,,
5540508,JASPER (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,61,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",5,,,,,,,,,,,,,
5540503,STORY (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,48,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",6,,,,,,,,,,,,,
5540504,MARSHALL (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,49,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",7,,,,,,,,,,,,,
5540502,BOONE (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,47,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",8,,,,,,,,,,,,,
5540501,GREENE (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,46,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",9,,,,,,,,,,,,,
5540505,TAMA (ZONE), ,2/9/1996,600,Flood, , ,0,0,0,0,IA,CST, ,2403189,Z,50,DMX,0,0, , , , , , , , , ,2/12/1996,1800, , , , ,,"Though precipitation in Iowa during the month o February was light, scattered flooding was obseved in Iowa for the first time since July of 1995.  All of the flooding resulted from significant melting of the extensive snow cover in Iowa between the 7th and the 10th of the month.  Some of the high water conditions were enhanced by ice jams.  Damage was minor, as as the flooding.  The Iowa River at Marshalltown crested about a foot and one half above flood stage on the 11th due to melting and ice action.  The Raccoon River at Van Meter crested nearly 2 feet above flood stage.  This was partly due to the melting and partly due to ice action.  Minor flooding was observed along the South Skunk River at Oskaloosa and the Cedar Creek at Bussey.",10,,,,,,,,,,,,,
