MACRO_START,CAPPED_EPISODE_END,TOTAL_EPISODE_DURATION,NEW_EPISODE_ID,BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,21,715,202406,30,2359,193311,1194208,IOWA,19,2024,June,Flood,C,63,EMMET,DMX,2024-06-21 07:15:00,CST-6,2024-06-30 23:59:00,0,0,0,0,10.00M,0.00K,River/Stream Gage,Heavy Rain,4.41,SSW,WELLINGFORD,0.85,SE,WELLINGFORD,43.26,-94.83,43.26,-94.71,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The West Fork of the Des Moines at Estherville crested at 18.1 ft on June 24 at 09:00 am CDT. The river remained in flood through the end of the month and into July. Preliminary information indicates this is the new flood of record for the point.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,21,2315,202406,30,2359,193311,1194818,IOWA,19,2024,June,Flood,C,147,PALO ALTO,DMX,2024-06-21 23:15:00,CST-6,2024-06-30 23:59:00,0,0,0,0,721.00K,0.00K,River/Stream Gage,Heavy Rain,2.62,WSW,EMMETSBURG ARPT,3.66,S,WEST BEND,43.09,-94.75,42.79,-94.44,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The West Fork of the Des Moines at Emmetsburg crested at 15.47 ft on June 24 at 01:15 pm CDT. The river remained in flood through the end of the month and into July. Preliminary information indicates this is the new flood of record for the point.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,22,0,202406,30,2359,193311,1194195,IOWA,19,2024,June,Flood,C,187,WEBSTER,DMX,2024-06-22 00:00:00,CST-6,2024-06-30 23:59:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,2.04,W,ROBERTS,1.23,NNE,DAYTON,42.42,-94.21,42.3,-94.06,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The Des Moines at Fort Dodge crested at 17.12 ft on June 27 at 04:30 am CDT. The river remained in flood through the end of the month and into July.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,22,600,202406,30,2359,193311,1194209,IOWA,19,2024,June,Flood,C,91,HUMBOLDT,DMX,2024-06-22 06:00:00,CST-6,2024-06-30 23:59:00,0,0,0,0,88.00K,0.00K,River/Stream Gage,Heavy Rain,5.72,SSE,DAKOTA CITY,4.94,E,DAKOTA CITY,42.65,-94.16,42.72,-94.2,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The West Fork of the Des Moines at Humboldt crested at 16.99 ft on June 27 at 02:15 am CDT. The river remained in flood through the end of the month and into July. Preliminary information indicates this is the new flood of record for the point.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,22,700,202406,30,2359,193311,1194200,IOWA,19,2024,June,Flood,C,109,KOSSUTH,DMX,2024-06-22 07:00:00,CST-6,2024-06-30 23:59:00,0,0,0,0,128.00K,0.00K,River/Stream Gage,Heavy Rain,3.75,SW,LU VERNE,2.94,NE,IRVINGTON,42.88,-94.13,43.05,-94.15,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The East Fork of the Des Moines at Algona crested at 20.73 ft on June 23 at 05:15 am CDT. The river remained in flood through the end of the month and into July.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,22,845,202406,25,2200,193311,1194194,IOWA,19,2024,June,Flood,C,33,CERRO GORDO,DMX,2024-06-22 08:45:00,CST-6,2024-06-25 22:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,8.0,NW,FREEMAN,11.96,NNW,CLEAR LAKE LAKE,43.31,-93.3,43.26,-93.5,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The Winnebago River at Mason City crested at 10.96 ft on June 22 at 09:45 pm CDT.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,22,1345,202406,27,230,193311,1194201,IOWA,19,2024,June,Flood,C,91,HUMBOLDT,DMX,2024-06-22 13:45:00,CST-6,2024-06-27 02:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,1.67,ENE,BODE,2.62,SSW,DAKOTA CITY,42.88,-94.25,42.66,-94.25,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The East Fork of the Des Moines at Dakota City crested at 21.65 ft on June 24 at 01:30 pm CDT.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,23,930,202406,27,1600,193311,1194180,IOWA,19,2024,June,Flood,C,23,BUTLER,DMX,2024-06-23 09:30:00,CST-6,2024-06-27 16:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,7.17,ENE,NEW HARTFORD,5.07,ESE,SHELL ROCK,42.61,-92.49,42.69,-92.49,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The Shell Rock River at Shell Rock crested at 12.94 ft on June 24 at 12:30 pm CDT.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,24,500,202406,30,2359,193311,1194197,IOWA,19,2024,June,Flood,C,187,WEBSTER,DMX,2024-06-24 05:00:00,CST-6,2024-06-30 23:59:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,13.46,SE,LANYON,2.13,SSE,LANYON,42.07,-94.03,41.87,-93.94,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The Des Moines at Stratford crested at 21.56 ft on June 27 at 08:15 pm CDT. The river remained in flood through the end of the month and into July.,CSV
2024-06-21 07:15:00,2024-06-24 07:15:00,3 days 00:00:00,193311_0,202406,24,600,202406,28,1815,193311,1194178,IOWA,19,2024,June,Flood,C,13,BLACK HAWK,DMX,2024-06-24 06:00:00,CST-6,2024-06-28 18:15:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,1.23,NE,(ALO)WATERLOO MUNI A,1.47,W,BOIES,42.56,-92.38,42.62,-92.41,"Heavy rain fell over portions of northern Iowa, especially northwestern Iowa and bordering states later on June 20 through early on June 21. This rainfall caused flash flooding in portions of northwest Iowa and also aided in saturating the soil. As another round of heavy rain fell later on June 21 into the night and morning of June 22, this rainfall led to renewed flash flooding. This rainfall made its way into streams and rivers resulting in significant and record river flooding in northwest Iowa including the West Fork of the Des Moines River. Flooding resulted in massive sandbagging efforts, prolonged road closures and damages, and impacts to home and businesses.||Note: damage estimates are taken from Iowa Homeland Security and Emergency Management Department and represent total flood damages for the entire county for the month of June. Damages are estimated to have surpassed $12 million in June.",The Cedar River at Cedar Falls crested at 93.73 ft on June 26 at 03:30 am CDT.,CSV
